epoch,train_loss,train_auc,train_points_auc,train_accuracy,test_auc,test_points_auc,test_accuracy
0,0.6445281835198402,,tensor(0.6102),tensor(0.5000),,tensor(0.6468),tensor(0.5000)
1,0.6443777564406395,,tensor(0.6110),tensor(0.5000),,tensor(0.6612),tensor(0.5000)
2,0.6729301749229432,,tensor(0.6230),tensor(0.5000),,tensor(0.7253),tensor(0.5066)
3,0.7949310656547547,,tensor(0.8373),tensor(0.6256),,tensor(0.9728),tensor(0.8799)
4,0.8111779053926468,,tensor(0.9495),tensor(0.8221),,tensor(0.9878),tensor(0.9349)
5,0.8059578950285912,,tensor(0.9659),tensor(0.8739),,tensor(0.9918),tensor(0.9527)
6,0.8106549865365028,,tensor(0.9726),tensor(0.8944),,tensor(0.9934),tensor(0.9683)
7,0.8179099343776703,,tensor(0.9769),tensor(0.9110),,tensor(0.9950),tensor(0.9731)
8,0.8121742761969566,,tensor(0.9802),tensor(0.9229),,tensor(0.9951),tensor(0.9770)
9,0.8167122392177582,,tensor(0.9820),tensor(0.9273),,tensor(0.9964),tensor(0.9814)
10,0.8181168014109135,,tensor(0.9838),tensor(0.9323),,tensor(0.9973),tensor(0.9839)
11,0.8139850034236908,,tensor(0.9853),tensor(0.9414),,tensor(0.9978),tensor(0.9861)
12,0.8164243775725365,,tensor(0.9866),tensor(0.9457),,tensor(0.9978),tensor(0.9883)
13,0.8179662551343441,,tensor(0.9875),tensor(0.9469),,tensor(0.9979),tensor(0.9878)
14,0.8179413428843022,,tensor(0.9880),tensor(0.9492),,tensor(0.9985),tensor(0.9894)
15,0.8174224171400071,,tensor(0.9891),tensor(0.9520),,tensor(0.9983),tensor(0.9897)
16,0.8177102787852287,,tensor(0.9891),tensor(0.9514),,tensor(0.9986),tensor(0.9899)
17,0.8180542823910714,,tensor(0.9898),tensor(0.9554),,tensor(0.9985),tensor(0.9892)
18,0.8166934060335159,,tensor(0.9902),tensor(0.9553),,tensor(0.9985),tensor(0.9919)
19,0.8178952135026455,,tensor(0.9905),tensor(0.9591),,tensor(0.9988),tensor(0.9922)
