epoch,train_loss,train_auc,train_points_auc,train_accuracy,test_auc,test_points_auc,test_accuracy
0.0,0.6407915844082832,,0.6097150444984436,0.49986758828163147,,0.6193993091583252,0.47613856196403503
1.0,0.6840543885469437,,0.6200489401817322,0.49986758828163147,,0.63380366563797,0.47613856196403503
2.0,0.7815931185007096,,0.8425018191337585,0.5699594020843506,,0.6551305651664734,0.48098352551460266
3.0,0.7837365255832672,,0.8938906192779541,0.6382415294647217,,0.6574438214302063,0.48243701457977295
4.0,0.788774461966753,,0.9108231663703918,0.6729342937469482,,0.6589360237121582,0.4853439927101135
5.0,0.7983177012920379,,0.9207524657249451,0.6967249512672424,,0.6598963737487793,0.4859496057033539
6.0,0.7972555931389332,,0.9271462559700012,0.7117319703102112,,0.6605815291404724,0.48510172963142395
7.0,0.798712006187439,,0.9316851496696472,0.7256355881690979,,0.6608099341392517,0.4867974817752838
8.0,0.8016802590608597,,0.9356068968772888,0.7368909120559692,,0.6612874865531921,0.48776647448539734
9.0,0.7992936893463135,,0.9377769231796265,0.7416578531265259,,0.6611796021461487,0.487039715051651
10.0,0.80366775598526,,0.9400665163993835,0.747042715549469,,0.6615598797798157,0.4897044599056244
11.0,0.8043691133022308,,0.9420377016067505,0.7530455589294434,,0.6617904305458069,0.4907945692539215
12.0,0.8017527906596661,,0.9452300667762756,0.7654484510421753,,0.6619954109191895,0.49273255467414856
13.0,0.8059055077850819,,0.9458840489387512,0.7638594508171082,,0.6621344685554504,0.49127906560897827
14.0,0.8077000837683678,,0.9468251466751099,0.7687588334083557,,0.6625270843505859,0.4895833432674408
15.0,0.8058731456995011,,0.9478640556335449,0.7737905979156494,,0.6627451181411743,0.49249032139778137
16.0,0.811119856274128,,0.9495280385017395,0.7751147747039795,,0.6627998352050781,0.4906734526157379
17.0,0.8035196532547474,,0.9500935077667236,0.7778071761131287,,0.6629488468170166,0.4935804307460785
18.0,0.809498950856924,,0.950896143913269,0.7814707159996033,,0.6629127860069275,0.49043118953704834
19.0,0.8101766474962234,,0.9517302513122559,0.7829713821411133,,0.6630495190620422,0.49273255467414856
