epoch,train_loss,train_auc,train_points_auc,train_accuracy,test_auc,test_points_auc,test_accuracy
0.0,0.7472110086805509,,0.6298651695251465,0.49991172552108765,,0.6306986808776855,0.47613856196403503
1.0,0.7653223239419151,,0.7638760209083557,0.5014565587043762,,0.6420737504959106,0.4767441749572754
2.0,0.7825483590498382,,0.8191190958023071,0.5214512944221497,,0.6567949056625366,0.48885658383369446
3.0,0.7885121131373534,,0.8778140544891357,0.5818767547607422,,0.6614812016487122,0.4938226640224457
4.0,0.7957335762661525,,0.9131373763084412,0.6788930296897888,,0.6650286912918091,0.4947916567325592
5.0,0.7971696804050529,,0.929631769657135,0.7329625487327576,,0.6657884120941162,0.49697190523147583
6.0,0.8005556879400882,,0.9387955665588379,0.7635505199432373,,0.6665046215057373,0.4937015473842621
7.0,0.8007538649301995,,0.9453142881393433,0.7838982939720154,,0.667007327079773,0.49697190523147583
8.0,0.7989834890811406,,0.9501298069953918,0.7984640002250671,,0.6672389507293701,0.49915212392807007
9.0,0.8014099608960953,,0.953709602355957,0.8058792352676392,,0.6675265431404114,0.49660852551460266
10.0,0.7989890226465828,,0.9563301205635071,0.815854549407959,,0.6680301427841187,0.4984253942966461
11.0,0.8004454572134657,,0.9584971070289612,0.8233138918876648,,0.6680524349212646,0.4962451457977295
12.0,0.8000004074439228,,0.961583137512207,0.8341719508171082,,0.6683045625686646,0.49818313121795654
13.0,0.8032764049511597,,0.9621255397796631,0.8320974707603455,,0.6683846712112427,0.49806201457977295
14.0,0.8027523950472756,,0.964403510093689,0.8412340879440308,,0.668416440486908,0.49927327036857605
15.0,0.7983722481737724,,0.9653192162513733,0.8407486081123352,,0.6685030460357666,0.49951550364494324
16.0,0.8009491402765682,,0.9667773842811584,0.8486934900283813,,0.6686347723007202,0.49927327036857605
17.0,0.8020017142447373,,0.9673070907592773,0.8494438529014587,,0.6688048243522644,0.5008478760719299
18.0,0.8026575476934916,,0.9678924083709717,0.850900411605835,,0.6687792539596558,0.4983042776584625
19.0,0.8022063339284238,,0.9692242741584778,0.858977735042572,,0.668624222278595,0.4975775182247162
